Pop,High Hours,Anxiety_Absent,Depression_Absent,Improve
K pop,High Hours,Anxiety_Absent,Depression_Present,Improve
Pop,High Hours,Anxiety_Present,Depression_Absent,Improve
Pop,Low-Medium,Anxiety_Present,Depression_Present,Improve
Folk,Low-Medium,Anxiety_Present,Depression_Present,Improve
Country,Low-Medium,Anxiety_Present,Depression_Present,Improve
Metal,Low-Medium,Anxiety_Absent,Depression_Present,No effect
Rock,High Hours,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,Improve
Rock,High Hours,Anxiety_Absent,Depression_Absent,No effect
Country,High Hours,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Absent,Depression_Present,No effect
Folk,High Hours,Anxiety_Present,Depression_Absent,No effect
Metal,Low-Medium,Anxiety_Present,Depression_Present,Improve
Folk,High Hours,Anxiety_Absent,Depression_Present,Improve
Pop,Low-Medium,Anxiety_Absent,Depression_Absent,No effect
Metal,High Hours,Anxiety_Present,Depression_Present,Improve
EDM,Low-Medium,Anxiety_Present,Depression_Present,Improve
K pop,High Hours,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,Improve
Classical,High Hours,Anxiety_Present,Depression_Absent,Improve
EDM,High Hours,Anxiety_Present,Depression_Present,No effect
Rock,Low-Medium,Anxiety_Absent,Depression_Present,Worsen
Pop,High Hours,Anxiety_Present,Depression_Present,Improve
Classical,High Hours,Anxiety_Present,Depression_Present,Worsen
EDM,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Metal,Low-Medium,Anxiety_Absent,Depression_Absent,No effect
EDM,Low-Medium,Anxiety_Present,Depression_Present,No effect
Other,High Hours,Anxiety_Present,Depression_Absent,Improve
EDM,Low-Medium,Anxiety_Present,Depression_Present,Improve
Rap,High Hours,Anxiety_Absent,Depression_Absent,Improve
Hip hop,Low-Medium,Anxiety_Present,Depression_Present,Improve
Rock,High Hours,Anxiety_Present,Depression_Present,Improve
Video game music,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Video game music,Low-Medium,Anxiety_Absent,Depression_Absent,No effect
Metal,High Hours,Anxiety_Present,Depression_Present,No effect
Pop,Low-Medium,Anxiety_Present,Depression_Present,No effect
Classical,Low-Medium,Anxiety_Absent,Depression_Absent,No effect
Rock,Low-Medium,Anxiety_Present,Depression_Present,Improve
Metal,Low-Medium,Anxiety_Present,Depression_Present,Improve
Country,Low-Medium,Anxiety_Absent,Depression_Present,Improve
Country,Low-Medium,Anxiety_Present,Depression_Present,Improve
Country,Low-Medium,Anxiety_Present,Depression_Absent,No effect
Pop,Low-Medium,Anxiety_Present,Depression_Present,No effect
Classical,High Hours,Anxiety_Present,Depression_Present,Improve
Pop,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Folk,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Pop,Low-Medium,Anxiety_Absent,Depression_Present,Improve
Rock,High Hours,Anxiety_Absent,Depression_Absent,Improve
EDM,High Hours,Anxiety_Absent,Depression_Absent,Improve
Metal,High Hours,Anxiety_Present,Depression_Present,Improve
Video game music,High Hours,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,Improve
Video game music,Low-Medium,Anxiety_Present,Depression_Present,No effect
Hip hop,High Hours,Anxiety_Present,Depression_Present,Improve
Video game music,Low-Medium,Anxiety_Present,Depression_Present,Worsen
Video game music,High Hours,Anxiety_Present,Depression_Present,Improve
Metal,High Hours,Anxiety_Present,Depression_Present,Improve
Video game music,High Hours,Anxiety_Present,Depression_Absent,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Present,No effect
Rock,Low-Medium,Anxiety_Present,Depression_Present,No effect
Other,High Hours,Anxiety_Present,Depression_Present,Improve
Rock,Low-Medium,Anxiety_Present,Depression_Absent,Improve
Pop,Low-Medium,Anxiety_Present,Depression_Present,Improve
Rock,High Hours,Anxiety_Present,Depression_Present,Improve
